,ids,growth,status
120,{'BSU31970'},0.6241848146320979,optimal
121,{'BSU14610'},0.6074394324558535,optimal
122,{'BSU22780'},0.0,optimal
123,{'BSU02420'},0.6241848146321042,optimal
124,{'BSU36030'},0.6241848146320963,optimal
125,{'BSU38140'},0.6241848146320963,optimal
126,{'BSU25310'},0.6241848146320963,optimal
127,{'BSU36820'},0.1551857741419153,optimal
128,{'BSU29440'},0.0,optimal
129,{'BSU10130'},0.6241848146320879,optimal
130,{'BSU28130'},0.6241848146320879,optimal
131,{'BSU14870'},0.6241848146320879,optimal
132,{'BSU36000'},0.6241848146320916,optimal
133,{'BSU39720'},0.6241848146320907,optimal
134,{'BSU06970'},0.6241848146320907,optimal
135,{'BSU30210'},0.6241848146320907,optimal
136,{'BSU37780'},0.6241848146320907,optimal
137,{'BSU33370'},0.6241848146320907,optimal
138,{'BSU12010'},0.6241848146320907,optimal
139,{'BSU33510'},0.6241848146320907,optimal
140,{'BSU13600'},0.6241848146320907,optimal
141,{'BSU29990'},0.6241848146320907,optimal
142,{'BSU33830'},0.6241848146320907,optimal
143,{'BSU05820'},0.6241848146320907,optimal
144,{'BSU15200'},0.0,optimal
145,{'BSU34890'},0.6241848146320891,optimal
146,{'BSU15510'},0.6241848146320891,optimal
147,{'BSU15020'},0.6241848146320891,optimal
148,{'BSU13120'},0.6241848146320891,optimal
149,{'BSU23490'},0.6241848146320891,optimal
150,{'BSU29600'},0.6241848146320891,optimal
151,{'BSU11220'},0.0,optimal
152,{'BSU34570'},0.6241848146320929,optimal
153,{'BSU15680'},0.0,optimal
154,{'BSU38980'},0.6241848146320986,optimal
155,{'BSU03130'},0.0,optimal
156,{'BSU32180'},0.6241848146320991,optimal
157,{'BSU36370'},0.6241848146320991,optimal
158,{'BSU09840'},0.6241848146320991,optimal
159,{'BSU14600'},0.6241848146320934,optimal
160,{'BSU39700'},0.6241848146320934,optimal
161,{'BSU31620'},0.6241848146320934,optimal
162,{'BSU00140'},0.6241848146320873,optimal
163,{'BSU39380'},0.624184814632099,optimal
164,{'BSU16740'},0.624184814632099,optimal
165,{'BSU31200'},0.624184814632099,optimal
166,{'BSU39360'},0.624184814632099,optimal
167,{'BSU37320'},0.624184814632099,optimal
168,{'BSU24050'},0.0,optimal
169,{'BSU15700'},0.6241848146320902,optimal
170,{'BSU06310'},0.6241848146320902,optimal
171,{'BSU35580'},0.6241848146320902,optimal
172,{'BSU06170'},0.6241848146320902,optimal
173,{'BSU28250'},0.0,optimal
174,{'BSU11880'},0.6241848146321018,optimal
175,{'BSU37060'},0.6241848146320899,optimal
176,{'BSU35930'},0.6241848146320899,optimal
177,{'BSU25160'},0.0,optimal
178,{'BSU19360'},0.6241848146320907,optimal
179,{'BSU38990'},0.6241848146320907,optimal
180,{'BSU39050'},0.6241848146320907,optimal
181,{'BSU03300'},0.6241848146320907,optimal
182,{'BSU31660'},0.6241848146320907,optimal
183,{'BSU30790'},0.0,optimal
184,{'BSU04520'},0.6241848146320907,optimal
185,{'BSU39920'},0.6241848146320907,optimal
186,{'BSU38150'},0.6241848146320907,optimal
187,{'BSU03000'},0.6241848146320907,optimal
188,{'BSU02750'},0.6241848146320907,optimal
189,{'BSU29020'},0.6241848146321018,optimal
190,{'BSU02990'},0.6241848146320963,optimal
191,{'BSU31580'},0.6241848146320963,optimal
192,{'BSU22480'},0.6241848146320963,optimal
193,{'BSU04620'},0.6241848146320963,optimal
194,{'BSU27010'},0.6241848146320963,optimal
195,{'BSU03981'},0.6241848146320963,optimal
196,{'BSU35540'},0.6241848146320963,optimal
197,{'BSU00930'},0.6241848146320963,optimal
198,{'BSU13590'},0.6241848146320963,optimal
199,{'BSU15860'},0.6241848146320963,optimal
200,{'BSU17150'},0.6241848146320963,optimal
201,{'BSU18210'},0.6241848146320963,optimal
202,{'BSU15600'},0.6241848146320963,optimal
203,{'BSU05740'},0.6241848146320963,optimal
204,{'BSU22620'},0.6241848146320963,optimal
205,{'BSU08000'},0.6241848146320963,optimal
206,{'BSU03040'},0.6241848146320963,optimal
207,{'BSU35020'},0.6241848146320963,optimal
208,{'BSU33930'},0.3802361346921734,optimal
209,{'BSU15560'},0.0,optimal
210,{'BSU30440'},0.6241848146320941,optimal
211,{'BSU21680'},0.6241848146320885,optimal
212,{'BSU15900'},0.0,optimal
213,{'BSU22740'},0.0,optimal
214,{'BSU17890'},0.0,optimal
215,{'BSU09290'},0.6241848146320969,optimal
216,{'BSU22600'},0.0,optimal
217,{'BSU00770'},0.0,optimal
218,{'BSU18570'},0.6241848146320988,optimal
219,{'BSU27850'},0.0,optimal
220,{'BSU26970'},0.624184814632092,optimal
221,{'BSU01780'},0.0,optimal
222,{'BSU31050'},0.6241848146320924,optimal
223,{'BSU02510'},0.6241848146320924,optimal
224,{'BSU03810'},0.6241848146320924,optimal
225,{'BSU23280'},0.6241848146320924,optimal
226,{'BSU24140'},0.6241848146320924,optimal
227,{'BSU27900'},0.0,optimal
228,{'BSU35920'},0.624184814632098,optimal
229,{'BSU31090'},0.6241848146320932,optimal
230,{'BSU03990'},0.6241848146320932,optimal
231,{'BSU30740'},0.6241848146320932,optimal
232,{'BSU32200'},0.6241848146320932,optimal
233,{'BSU18440'},0.6241848146320932,optimal
234,{'BSU38770'},0.6241848146320932,optimal
235,{'BSU34150'},0.6241848146320932,optimal
236,{'BSU08650'},0.6241848146320932,optimal
237,{'BSU26640'},0.6241848146320932,optimal
238,{'BSU31350'},0.6241848146320935,optimal
239,{'BSU06530'},0.0,optimal
240,{'BSU07490'},0.6241848146320914,optimal
241,{'BSU30830'},0.6241848146320914,optimal
242,{'BSU06450'},0.0,optimal
243,{'BSU19710'},0.6241848146320991,optimal
244,{'BSU32500'},0.6241848146320963,optimal
245,{'BSU23760'},0.6241848146320963,optimal
246,{'BSU19520'},0.6241848146320963,optimal
247,{'BSU26650'},0.6241848146320963,optimal
248,{'BSU23270'},0.6241848146320963,optimal
249,{'BSU23860'},0.6241848146320963,optimal
250,{'BSU25790'},0.6241848146320986,optimal
251,{'BSU09280'},0.6241848146320986,optimal
252,{'BSU14630'},0.6241848146320986,optimal
253,{'BSU27260'},0.6241848146320987,optimal
254,{'BSU00380'},0.6241848146320987,optimal
255,{'BSU22420'},0.6241848146320987,optimal
256,{'BSU17680'},0.6241848146320987,optimal
257,{'BSU37120'},0.6241848146320987,optimal
258,{'BSU22550'},0.5016039793981634,optimal
259,{'BSU27050'},0.6241848146320932,optimal
260,{'BSU03610'},0.6241848146320932,optimal
261,{'BSU22830'},0.0,optimal
262,{'BSU02980'},0.6241848146320934,optimal
263,{'BSU18480'},0.6241848146320934,optimal
264,{'BSU13850'},0.6241848146320934,optimal
265,{'BSU21820'},0.6241848146320934,optimal
266,{'BSU29350'},0.6241848146320934,optimal
267,{'BSU32820'},0.6241848146320934,optimal
268,{'BSU08710'},0.6241848146320934,optimal
269,{'BSU33430'},0.6241848146320934,optimal
270,{'BSU06980'},0.6241848146320933,optimal
271,{'BSU18450'},0.6241848146320933,optimal
272,{'BSU12910'},0.6241848146320933,optimal
273,{'BSU00760'},0.0,optimal
274,{'BSU33720'},0.6241848146320972,optimal
275,{'BSU15190'},0.0,optimal
276,{'BSU35600'},0.6241848146320971,optimal
277,{'BSU28800'},0.624184814632097,optimal
278,{'BSU15850'},0.624184814632097,optimal
279,{'BSU12080'},0.624184814632097,optimal
280,{'BSU32440'},0.624184814632097,optimal
281,{'BSU18220'},0.624184814632097,optimal
282,{'BSU14510'},0.624184814632097,optimal
283,{'BSU22710'},0.0,optimal
284,{'BSU15790'},0.6241848146320929,optimal
285,{'BSU09410'},0.6241848146320927,optimal
286,{'BSU23080'},0.0,optimal
287,{'BSU24960'},0.6241848146320924,optimal
288,{'BSU12160'},0.6241848146320924,optimal
289,{'BSU03330'},0.6241848146320924,optimal
290,{'BSU37270'},0.6241848146320924,optimal
291,{'BSU16920'},0.0,optimal
292,{'BSU29340'},0.6241848146320972,optimal
293,{'BSU06440'},0.0,optimal
294,{'BSU28290'},0.0,optimal
295,{'BSU21690'},0.6241848146320927,optimal
296,{'BSU25020'},0.6241848146320924,optimal
297,{'BSU27430'},0.6241848146320867,optimal
298,{'BSU13130'},0.6241848146320873,optimal
299,{'BSU36850'},0.15518577414191428,optimal
300,{'BSU32750'},0.6241848146320932,optimal
301,{'BSU39610'},0.624184814632098,optimal
302,{'BSU38530'},0.0,optimal
303,{'BSU40040'},0.6241848146320932,optimal
304,{'BSU29790'},0.0,optimal
305,{'BSU14180'},0.0,optimal
306,{'BSU29750'},0.0,optimal
307,{'BSU38520'},0.0,optimal
308,{'BSU39450'},0.6241848146320922,optimal
309,{'BSU13900'},0.624184814632099,optimal
310,{'BSU11340'},0.0,optimal
311,{'BSU32830'},0.624184814632098,optimal
312,{'BSU02340'},0.6241848146320945,optimal
313,{'BSU15650'},0.6241848146320945,optimal
314,{'BSU37490'},0.6241848146320945,optimal
315,{'BSU30750'},0.6241848146320945,optimal
316,{'BSU14830'},0.6241848146320945,optimal
317,{'BSU10120'},0.6241848146320945,optimal
318,{'BSU38190'},0.6241848146320945,optimal
319,{'BSU24740'},0.6241848146320945,optimal
320,{'BSU29210'},0.0,optimal
321,{'BSU06150'},0.6241848146320984,optimal
322,{'BSU00780'},0.0,optimal
323,{'BSU33310'},0.6241848146320915,optimal
324,{'BSU18250'},0.6241848146320925,optimal
325,{'BSU11870'},0.0,optimal
326,{'BSU25710'},0.6241848146320869,optimal
327,{'BSU03800'},0.624184814632087,optimal
328,{'BSU14590'},0.6241848146320929,optimal
329,{'BSU33170'},0.6241848146320929,optimal
330,{'BSU21900'},0.6241848146320929,optimal
331,{'BSU22540'},0.5016039793981633,optimal
332,{'BSU39060'},0.6241848146320932,optimal
333,{'BSU36130'},0.6241848146320932,optimal
334,{'BSU12340'},0.6241848146320935,optimal
335,{'BSU35690'},0.0,optimal
336,{'BSU24950'},0.6241848146320914,optimal
337,{'BSU15110'},0.6241848146320914,optimal
338,{'BSU25500'},0.6241848146320914,optimal
339,{'BSU11670'},0.6241848146320914,optimal
340,{'BSU28430'},0.6070729632858552,optimal
341,{'BSU38490'},0.0,optimal
342,{'BSU16510'},0.6241848146320879,optimal
343,{'BSU33490'},0.6241848146320879,optimal
344,{'BSU23980'},0.6241848146320934,optimal
345,{'BSU29220'},0.6241848146320934,optimal
346,{'BSU14580'},0.6241848146320933,optimal
347,{'BSU36590'},0.6241848146320941,optimal
348,{'BSU08180'},0.6241848146320941,optimal
349,{'BSU22430'},0.6241848146320941,optimal
350,{'BSU27610'},0.6241848146320941,optimal
351,{'BSU28170'},0.6241848146320941,optimal
352,{'BSU30280'},0.6241848146320941,optimal
353,{'BSU39670'},0.6241848146320941,optimal
354,{'BSU34590'},0.6241848146320941,optimal
355,{'BSU00680'},0.6241848146320875,optimal
356,{'BSU23570'},0.6241848146320875,optimal
357,{'BSU37280'},0.6241848146320875,optimal
358,{'BSU07840'},0.6241848146321027,optimal
359,{'BSU29710'},0.6241848146320919,optimal
360,{'BSU31980'},0.6241848146320812,optimal
361,{'BSU20250'},0.6241848146320812,optimal
362,{'BSU11240'},0.6241848146320812,optimal
363,{'BSU29470'},0.6241848146320923,optimal
364,{'BSU08440'},0.6241848146320924,optimal
365,{'BSU28470'},0.6241848146320931,optimal
366,{'BSU38710'},0.6241848146320931,optimal
367,{'BSU35730'},0.0,optimal
368,{'BSU00500'},0.0,optimal
369,{'BSU13890'},0.6241848146320931,optimal
370,{'BSU33330'},0.6241848146320924,optimal
371,{'BSU37260'},0.6241848146320924,optimal
372,{'BSU23610'},0.6241848146320924,optimal
373,{'BSU07510'},0.6241848146320924,optimal
374,{'BSU38560'},0.6241848146320924,optimal
375,{'BSU36510'},0.0,optimal
376,{'BSU10140'},0.6241848146320923,optimal
377,{'BSU02350'},0.6241848146320924,optimal
378,{'BSU38390'},0.6241848146320924,optimal
379,{'BSU18470'},0.6241848146320924,optimal
380,{'BSU31600'},0.6241848146320924,optimal
381,{'BSU28310'},0.6241848146320924,optimal
382,{'BSU13730'},0.6241848146320924,optimal
383,{'BSU09240'},0.6241848146320924,optimal
384,{'BSU23850'},0.6241848146320894,optimal
385,{'BSU32240'},0.0,optimal
386,{'BSU06420'},0.0,optimal
387,{'BSU36810'},0.15518577414191506,optimal
388,{'BSU30550'},0.6241848146320963,optimal
389,{'BSU11210'},0.0,optimal
390,{'BSU06240'},0.6241848146320984,optimal
391,{'BSU24150'},0.624184814632098,optimal
392,{'BSU03150'},0.0,optimal
393,{'BSU10520'},0.6241848146320934,optimal
394,{'BSU24990'},0.6241848146320934,optimal
395,{'BSU22670'},0.0,optimal
396,{'BSU27200'},0.6241848146320934,optimal
397,{'BSU00510'},0.0,optimal
398,{'BSU03310'},0.6241848146320254,optimal
399,{'BSU39420'},0.6241848146320916,optimal
400,{'BSU14880'},0.6241848146320916,optimal
401,{'BSU22640'},0.0,optimal
402,{'BSU30960'},0.6241848146320963,optimal
403,{'BSU02130'},0.6241848146320963,optimal
404,{'BSU16090'},0.6241848146320907,optimal
405,{'BSU27040'},0.6241848146320907,optimal
406,{'BSU02480'},0.6241848146320907,optimal
407,{'BSU24850'},0.6241848146320907,optimal
408,{'BSU26600'},0.6241848146320907,optimal
409,{'BSU28720'},0.6241848146320907,optimal
410,{'BSU40190'},0.6241848146320907,optimal
411,{'BSU19630'},0.6241848146320907,optimal
412,{'BSU06230'},0.6241848146320907,optimal
413,{'BSU09300'},0.6241848146320907,optimal
414,{'BSU38760'},0.6241848146320907,optimal
415,{'BSU13560'},0.6241848146320907,optimal
416,{'BSU33820'},0.6241848146320907,optimal
417,{'BSU22680'},0.0,optimal
418,{'BSU28120'},0.624184814632083,optimal
419,{'BSU28390'},0.624184814632083,optimal
420,{'BSU00270'},0.6241848146320931,optimal
421,{'BSU08830'},0.6241848146320931,optimal
422,{'BSU28280'},0.0,optimal
423,{'BSU34560'},0.6241848146320963,optimal
424,{'BSU38580'},0.6241848146320907,optimal
425,{'BSU20020'},0.6241848146320907,optimal
426,{'BSU32100'},0.6241848146320907,optimal
427,{'BSU15490'},0.0,optimal
428,{'BSU07610'},0.6241848146320909,optimal
429,{'BSU06500'},0.0,optimal
430,{'BSU36470'},0.624184814632086,optimal
431,{'BSU30560'},0.6241848146320969,optimal
432,{'BSU39730'},0.6241848146320969,optimal
433,{'BSU03950'},0.6241848146320969,optimal
434,{'BSU39740'},0.6241848146320969,optimal
435,{'BSU29360'},0.6241848146320969,optimal
436,{'BSU12300'},0.6241848146320969,optimal
437,{'BSU33500'},0.6241848146320969,optimal
438,{'BSU22660'},0.0,optimal
439,{'BSU23500'},0.624184814632099,optimal
440,{'BSU02140'},0.6241848146320991,optimal
441,{'BSU33960'},0.6241848146320991,optimal
442,{'BSU00740'},0.0,optimal
443,{'BSU38260'},0.6241848146320916,optimal
444,{'BSU04000'},0.6241848146320929,optimal
445,{'BSU39710'},0.6241848146320929,optimal
446,{'BSU15620'},0.6241848146320929,optimal
447,{'BSU33290'},0.6241848146320929,optimal
448,{'BSU40110'},0.6241848146320929,optimal
449,{'BSU04740'},0.0,optimal
450,{'BSU07570'},0.6241848146320852,optimal
451,{'BSU33040'},0.5937201155860882,optimal
452,{'BSU31060'},0.624184814632093,optimal
453,{'BSU24160'},0.6241848146320708,optimal
454,{'BSU10170'},0.6241848146320708,optimal
455,{'BSU13960'},0.6241848146320708,optimal
456,{'BSU22730'},0.0,optimal
457,{'BSU38240'},0.6241848146320912,optimal
458,{'BSU24060'},0.0,optimal
459,{'BSU32250'},0.0,optimal
460,{'BSU22630'},0.0,optimal
461,{'BSU00920'},0.6241848146320932,optimal
462,{'BSU22410'},0.6241848146320931,optimal
463,{'BSU23970'},0.6241848146320931,optimal
464,{'BSU29010'},0.6241848146320931,optimal
465,{'BSU34870'},0.0,optimal
466,{'BSU14910'},0.5016039793981643,optimal
467,{'BSU24970'},0.6241848146320932,optimal
468,{'BSU29450'},0.0,optimal
469,{'BSU32840'},0.6241848146320987,optimal
470,{'BSU21920'},0.0,optimal
471,{'BSU35620'},0.6241848146320932,optimal
472,{'BSU28750'},0.6241848146320931,optimal
473,{'BSU23960'},0.6241848146320931,optimal
474,{'BSU17370'},0.0,optimal
475,{'BSU05810'},0.6241848146321036,optimal
476,{'BSU37240'},0.6241848146321036,optimal
477,{'BSU28300'},0.6241848146321036,optimal
478,{'BSU19350'},0.6241848146320926,optimal
479,{'BSU30940'},0.6241848146320926,optimal
480,{'BSU18000'},0.5823469210377561,optimal
